Afghanistan	afgano,afghano
Repubblica del Congo	congolese
Repubblica Democratica del Congo	congolese
Repubblica Sudafricana	sudafricano
Republica Dominicana	dominicano
Rio de Janeiro	carioca
Romania	rumeno
Roma	romani
Ruanda	ruandese
Russia	russo
Saint Kitts e Nevis	nevisiano
Samoa Americane	samoano americano
Samoa	samoano
San Marino	sammarinese
Santa Lucia	santaluciano
Scozia	scozzese
Senegal	senegalese
Serbia	serbo
Siberia	siberiano
Sierra Leone	sierraleonese
Singapore	singaporiano
Siria	siriano
Siviglia	sivigliano
Slovacchia	slovacco
Slovenia	sloveno
Somalia	somalo
Spagna	spagnoli
Spagna	spagnolo
Sri Lanka	singalese,cingalese
Stati Uniti d'America	statunitense
Stati Uniti	statunitense
Sudafrica	sudafricano
Sudan	sudanese
Suriname	surinamese
Svezia	svedese
Svizzera	svizzero
Swaziland	swazilandese
Tagikistan	tagiko
Tailandia	tailandese
Taiwan	taiwanese
Tanzania	tanzaniano
Tasmania	tasmaniano
Tibet	tibetano
Timor Est	est-timorese
Togo	togolese
Tonga	tonghese
Trinidad e Tobago	trinidadiano
Tripolitania	tripolitano
Tripoli	tripolino
Tunisia	tunisino
Turchia	turco
Turkmenistan	turkmeno
Tuvalu	tuvaluano,tuvalese
Ucraina	ucraino
Uganda	ugandese
Ungheria	ungherese
Uruguay	uruguaiano
Uzbekistan	uzbeko
Vanuatu	vanuatuano
Venezuela	venezuelano
Vienna	viennese
Vietnam	vietnamita
Yemen	yemenita
Zambia	zambiano
Zimbabwe	zimbabwese 
Zurigo	zurighese
